"","state_name","county_name","year","feature","unit","value","citation","comment"
"1","Alabama","Baldwin",2018,"Moratorium",NA,NA,"Baldwin County Zoning Ordinance Sec. 13.13",NA
"2","Alabama","Cherokee",2021,"Sound","dBA","40","Ala. Code § 45-10-260.05",NA
"3","Alabama","Cherokee",2021,"Property Line","Meter","782","Ala. Code § 45-10-260.05",NA
"4","Alabama","Cherokee",2021,"Transmission","Max tip-height Multiplier","1.5","Ala. Code § 45-10-260.05","Minimum Setback of 1.5 the max height to an overhead electric line"
"5","Alabama","Dekalb",2021,"Sound","dBA","40","Ala. Code § 45-25-260.05",NA
"6","Alabama","Dekalb",2021,"Property Line","Meter","782","Ala. Code § 45-25-260.05",NA
"7","Alabama","Dekalb",2021,"Transmission","Max tip-height Multiplier","1.5","Ala. Code § 45-25-260.05",NA
"8","Alabama","Etowah",2021,"Sound","dBA","40","Ala. Code § 45-28-260.05",NA
"9","Alabama","Etowah",2021,"Property Line","Meter","782","Ala. Code § 45-28-260.05",NA
"10","Alabama","Etowah",2021,"Transmission","Max tip-height Multiplier","1.5","Ala. Code § 45-28-260.05","§ 45-28-260.05"
"11","Arizona","Apache",2021,"Sound","dBA","55","Apache County Art. 750","Greater of 55 dBA or the measured background LA90, 10 plus 5dB as measured"
"12","Arizona","Apache",2021,"Structure","Meter","749.80799999999999","Apache County Art. 750","1/2 mile (2460 feet) from offsite residences"
"13","Arizona","Apache",2021,"Road","Max tip-height Multiplier","1.5","Apache County Art. 750",NA
"14","Arizona","Apache",2021,"Property Line","Max tip-height Multiplier","1.1000000000000001","Apache County Art. 750",NA
"15","Arizona","Navajo",2018,"Road","Meter","402.33499999999998","Navajo County Ord. Art 20, 6-10(4)(w)",NA
"16","Arizona","Navajo",2018,"Sound","dBA","45","Navajo County Ord. Art. 20, 6-10 (4)(v)",NA
"17","Arizona","Navajo",2018,"Railroad","Max tip-height Multiplier","1.5","Navajo County Ord. Art 20, 6-10(4)(w)",NA
"18","Arizona","Navajo",2018,"Transmission","Max tip-height Multiplier","1.5","Navajo County Ord. Art 20, 6-10(4)(w)",NA
"19","Arizona","Navajo",2018,"Structure","Max tip-height Multiplier","1.5","Navajo County Ord. Art 20, 6-10(4)(w)",NA
"20","Arizona","Apache",2021,"Railroad","Max tip-height Multiplier","1.5","Apache County Art. 750",NA
"21","Arizona","Apache",2021,"Transmission","Max tip-height Multiplier","1.5","Apache County Art. 750",NA
"22","Arizona","Cochise",2021,"Sound","dBA","55","Cochise County Ord. § 1822.04",NA
"23","Arizona","Cochise",2021,"Structure","Meter","304.8","Cochise County Ord. § 1822.02","Minimum 1000 feet setback from all residences"
"24","Arizona","Cochise",2021,"Property Line",NA,NA,"Cochise County Ord. § 1822.02","Setback is max tip-height plus ten feet (Some percentage above 100%)"
"25","Arizona","Cochise",2021,"Road",NA,NA,"Cochise County Ord. § 1822.02","Setback is max tip-height plus ten feet (Some percentage above 100%)"
"26","Arizona","La Paz",2021,"Property Line","Max tip-height Multiplier","1.01","La Paz County Ord. § 619.06","Setback is minimum 101% of max tip height to the property line"
"27","Arizona","Navajo",2021,"Structure","Meter","782","Navajo County Ord. Art 20, 6-10(4)(w)","Setback is minimum half mile (2640 Feet) to residence off property line"
"28","Arizona","Navajo",2021,"Property Line","Max tip-height Multiplier","1.1000000000000001","Navajo County Ord. Art 20, 6-10(4)(w)",NA
"29","California","Butte",2021,"Sound","dBA","55/50/45","Butte County Code § 24-157(E); Butte County Code 41A(7)","55 dbA daytime; 50 dBa evening (7-10pm); 45 dba nighttime (10pm-7am)"
"30","California","Butte",2021,"Structure","Meter","305","Butte County Code § 24-157(E)(2)","1000 feet from offsite residences"
"31","California","Colusa",2021,"Sound","dBA","60","Colusa County Code § 44-2.80.020(E)(c)",NA
"32","California","Contra Costa",2018,"Property Line","Max Tip-height Multiplier","3","Contra Costa County Code Title 8 § 88-3","Greater of 3x tower height or 500 feet from boundary line and right-of-way"
"33","California","Contra Costa",2018,"Structure","Meter","305","Contra Costa County Code Title 8 § 88-3","1000 feet from offsite residences"
"34","California","Contra Costa",2018,"Sound","dBA","65","Contra Costa County Code Title 8 § 88-3",NA
