"","Setback","moratorium","noise","capacity","height","utility","agricultur","cover","density","continuous operation","ban","visual impact"
"Setback",413,30,49,2,61,34,10,3,0,1,12,7
"moratorium",30,155,8,2,15,43,8,2,0,0,7,5
"noise",49,8,93,2,36,13,6,0,0,1,5,5
"capacity",2,2,2,14,3,3,1,1,0,0,1,2
"height",61,15,36,3,281,24,6,0,0,0,4,1
"utility",34,43,13,3,24,105,9,6,0,0,18,2
"agricultur",10,8,6,1,6,9,34,2,0,0,1,1
"cover",3,2,0,1,0,6,2,19,0,0,1,0
"density",0,0,0,0,0,0,0,0,5,0,0,0
"continuous operation",1,0,1,0,0,0,0,0,0,1,1,1
"ban",12,7,5,1,4,18,1,1,0,1,38,1
"visual impact",7,5,5,2,1,2,1,0,0,1,1,14
