"","Setback","moratorium","noise","capacity","height","utility","agricultur","cover","density","continuous operation","ban","visual impact"
"Setback",1,0.815229431052856,0.786102363680948,0.608834421515579,0.929481666561193,0.79151753495774,0.589512014442008,0.571959873593516,0.614002424261482,0.18641092980036,0.74830369500519,0.218499280282272
"moratorium",0.815229431052856,1,0.797645907941906,0.669993511278984,0.773637642377325,0.785849097016712,0.772693834707893,0.629117753332091,0.588934981486227,0.15618900058327,0.744895289670911,0.237502725266634
"noise",0.786102363680948,0.797645907941906,1,0.805881821716513,0.769023001049596,0.723327305605787,0.677311995014203,0.672555878284336,0.636988092711742,0.186747715855969,0.695576008889352,0.269180508547917
"capacity",0.608834421515579,0.669993511278984,0.805881821716513,1,0.592757253455832,0.487947515413574,0.554923705553058,0.553671634134913,0.708142077174631,0.0991950106899162,0.370460488193278,0.383377457841538
"height",0.929481666561193,0.773637642377325,0.769023001049596,0.592757253455832,1,0.682066336619959,0.617032169350011,0.567925473246158,0.608492010089189,0.187086333932516,0.701507744798904,0.0355606940975231
"utility",0.79151753495774,0.785849097016712,0.723327305605787,0.487947515413574,0.682066336619959,1,0.78743610355608,0.602455643236573,0.630553869553037,0.186747715855969,0.855017694573104,0.337215142576511
"agricultur",0.589512014442008,0.772693834707893,0.677311995014203,0.554923705553058,0.617032169350011,0.78743610355608,1,0.547519356027406,0.640806900839009,0.268381839036493,0.75173791317845,0.35709134895577
"cover",0.571959873593516,0.629117753332091,0.672555878284336,0.553671634134913,0.567925473246158,0.602455643236573,0.547519356027406,1,0.338351014483416,0.454645514693933,0.620230307225229,0.365611975541423
"density",0.614002424261482,0.588934981486227,0.636988092711742,0.708142077174631,0.608492010089189,0.630553869553037,0.640806900839009,0.338351014483416,1,-0.132894358488438,0.484372940692229,0.0589401850135311
"continuous operation",0.18641092980036,0.15618900058327,0.186747715855969,0.0991950106899162,0.187086333932516,0.186747715855969,0.268381839036493,0.454645514693933,-0.132894358488438,1,0.320970369383185,0.373364328316172
"ban",0.74830369500519,0.744895289670911,0.695576008889352,0.370460488193278,0.701507744798904,0.855017694573104,0.75173791317845,0.620230307225229,0.484372940692229,0.320970369383185,1,0.186077107206402
"visual impact",0.218499280282272,0.237502725266634,0.269180508547917,0.383377457841538,0.0355606940975231,0.337215142576511,0.35709134895577,0.365611975541423,0.0589401850135311,0.373364328316172,0.186077107206402,1
