"","Setback","moratorium","noise","capacity","height","utility","agricultur","cover","density","continuous operation","ban","visual impact"
"Setback",1,-0.192227142297525,0.0733431780003754,-0.0657487868878172,-0.250744317995031,-0.0629874245310022,-0.045821965907364,-0.0725355654296004,-0.0597032218705435,0.0376792047876387,-0.039785633763825,0.0207764777995556
"moratorium",-0.192227142297525,1,-0.0614710796223281,-0.00415288587259989,-0.176495837418152,0.240556642016246,0.0413955155089769,-0.0193113392896712,-0.030460636176786,-0.0135950288682509,0.0157908272718,0.0664225780191419
"noise",0.0733431780003754,-0.0614710796223281,1,0.0203441536959619,0.0750360488357346,0.0360167071293271,0.053749052983151,-0.0447058783609001,-0.0227712266042466,0.0987900196348018,0.0262144421969826,0.108276760205532
"capacity",-0.0657487868878172,-0.00415288587259989,0.0203441536959619,1,-0.0179209589435008,0.0423654048139572,0.0245439436092999,0.0457120157140358,-0.00847259456880825,-0.00378144327266895,0.0207640025834246,0.130649614881563
"height",-0.250744317995031,-0.176495837418152,0.0750360488357346,-0.0179209589435008,1,-0.0406269197880969,-0.0440097779173506,-0.0873180486863699,-0.0444760095579956,-0.0198502956529304,-0.0781295539292621,-0.0558153302407884
"utility",-0.0629874245310022,0.240556642016246,0.0360167071293271,0.0423654048139572,-0.0406269197880969,1,0.0975675250834932,0.0955702959918382,-0.0243579866683978,-0.0108713268497548,0.23888164560801,0.0145953136900152
"agricultur",-0.045821965907364,0.0413955155089769,0.053749052983151,0.0245439436092999,-0.0440097779173506,0.0975675250834932,1,0.0546501127443814,-0.0133399892943646,-0.0059538329569504,-0.00854020532122869,0.0245439436093002
"cover",-0.0725355654296004,-0.0193113392896712,-0.0447058783609001,0.0457120157140358,-0.0873180486863699,0.0955702959918382,0.0546501127443814,1,-0.00989547256747233,-0.00441649460106442,0.010567818945534,-0.0166339209027815
"density",-0.0597032218705435,-0.030460636176786,-0.0227712266042466,-0.00847259456880825,-0.0444760095579956,-0.0243579866683978,-0.0133399892943646,-0.00989547256747233,1,-0.00224956992334211,-0.014132261366427,-0.00847259456880828
"continuous operation",0.0376792047876387,-0.0135950288682509,0.0987900196348018,-0.00378144327266895,-0.0198502956529304,-0.0108713268497548,-0.0059538329569504,-0.00441649460106442,-0.00224956992334211,1,0.159179756516966,0.26551133835954
"ban",-0.039785633763825,0.0157908272718,0.0262144421969826,0.0207640025834246,-0.0781295539292621,0.23888164560801,-0.00854020532122869,0.010567818945534,-0.014132261366427,0.159179756516966,1,0.0207640025834245
"visual impact",0.0207764777995556,0.0664225780191419,0.108276760205532,0.130649614881563,-0.0558153302407884,0.0145953136900152,0.0245439436093002,-0.0166339209027815,-0.00847259456880828,0.26551133835954,0.0207640025834245,1
