year,Setback_n,moratorium_n,noise_n,capacity_n,height_n,utility_n,agricultur_n,cover_n,density_n,continuous operation_n,ban_n,visual impact_n
2009,3,0,0,0,4,1,0,0,0,0,1,0
2010,2,0,2,0,4,1,1,0,0,0,0,0
2011,3,2,1,0,3,0,0,0,0,0,0,0
2012,3,0,0,0,2,2,0,0,0,0,0,0
2013,5,1,2,0,2,3,0,0,0,0,1,1
2014,6,0,3,1,4,2,0,0,0,0,0,2
2015,14,3,4,2,7,0,0,1,0,0,0,1
2016,16,12,3,1,12,2,0,0,0,0,0,0
2017,24,10,0,0,12,3,2,0,0,0,1,1
2018,49,6,8,0,30,6,0,1,0,0,4,0
2019,34,12,10,1,24,11,4,5,0,1,6,2
2020,41,15,12,2,28,13,3,5,1,0,5,0
2021,138,27,19,2,103,12,6,0,1,0,7,0
2022,44,33,13,3,27,28,10,3,3,0,4,6
2023,24,34,13,1,12,19,7,4,0,0,8,1
