column id ,Utility ID,Utility Name,Plant Name,State,,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Operating Month,Operating Year,Operating_Date,Retirement Month,Retirement Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Bifacial?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
1,16572,Salt River Project,Agua Fria,AZ,Arizona,Maricopa,PV-3,OP,Solar Photovoltaic,PV,Electric Utility,1,0.2,6,2001,2001-06-01,N/A,N/A,,Y,,,,,,,,,,180.0,33.4,0.1,Y,,,,,,N, ,N, 
2,18454,Tampa Electric Co,Big Bend,FL,Florida,Hillsborough,1,OP,Solar Photovoltaic,PV,Electric Utility,1,19.8,2,2017,2017-02-01,N/A,N/A,,Y,,,,,N,,,,,180.0, ,23.0,,Y,,,,,N, ,N, 
3,7095,City of Geneseo - (IL),Geneseo,IL,Illinois,Henry,12,OP,Solar Photovoltaic,PV,Electric Utility,1,1.2,8,2015,2015-08-01,N/A,N/A,,N,,Y,,,,,,,,180.0,30.0,1.2,Y,,,,,,N, ,N, 
4,16179,Rochelle Municipal Utilities,North Ninth Street,IL,Illinois,Ogle,SOL1,OP,Solar Photovoltaic,PV,Electric Utility,1,0.3,11,2014,2014-11-01,N/A,N/A,,N,,Y,,,,,,,,180.0,25.0,0.3,Y,,,,,,Y,0.3,N, 
5,6235,Fayetteville Public Works Commission,Butler-Warner Generation Plant,NC,North Carolina,Cumberland,10,OP,Solar Photovoltaic,PV,Electric Utility,1,1.0,6,2019,2019-06-01,N/A,N/A,,,,Y,,,,,,,,180.0,25.0,1.3,Y,,,,,,N, ,N, 
6,14201,City of Osage - (IA),Osage (IA),IA,Iowa,Mitchell,SO,OP,Solar Photovoltaic,PV,Electric Utility,1,0.8,11,2016,2016-11-01,N/A,N/A,,,,Y,,,,,,,,35.0,35.0,0.9,Y,,,,,,N, ,N, 
7,10171,Kentucky Utilities Co,E W Brown,KY,Kentucky,Mercer,SOLAR,OP,Solar Photovoltaic,PV,Electric Utility,1,13.0,5,2016,2016-05-01,N/A,N/A,,,,Y,,,,,,,,180.0,16.0,14.1,Y,,,,,,N, ,N, 
8,6779,City of Fremont - (NE),Lon Wright,NE,Nebraska,Dodge,SLR1,OP,Solar Photovoltaic,PV,Electric Utility,1,1.3,3,2018,2018-03-01,N/A,N/A,,Y,,N,,,,,,,,180.0, ,1.5,Y,,,,,,N, ,N, 
9,6779,City of Fremont - (NE),Lon Wright,NE,Nebraska,Dodge,SLR2,OP,Solar Photovoltaic,PV,Electric Utility,1,1.0,9,2018,2018-09-01,N/A,N/A,,Y,,N,,,,,,,,180.0, ,1.2,Y,,,,,,N, ,N, 
10,61919,Kimura Power LLC,Yankee Street,OH,Ohio,Montgomery,YS1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.1,3,2010,2010-03-01,N/A,N/A,,,,Y,,,,,,,,180.0,25.0,2.5,Y,,Y,,,,N, ,N, 
11,14063,Oklahoma Gas & Electric Co,Mustang,OK,Oklahoma,Canadian,SLR1,OP,Solar Photovoltaic,PV,Electric Utility,1,2.5,8,2015,2015-08-01,N/A,N/A,,Y,,Y,,,,,,,,180.0,25.0,3.0,Y,,,,,,N, ,N, 
12,12698,Evergy Missouri West,Greenwood (MO),MO,Missouri,Jackson,5,OP,Solar Photovoltaic,PV,Electric Utility,1,3.0,6,2016,2016-06-01,N/A,N/A,,,,Y,,,,,,,,185.0,15.0,3.6,Y,,,,,,N, ,N, 
13,11806,Massachusetts Mun Wholes Electric Co,Stony Brook,MA,Massachusetts,Hampden,5051S,OP,Solar Photovoltaic,PV,Electric Utility,1,6.9,6,2018,2018-06-01,N/A,N/A,,,,Y,,,,,,,,166.0,20.0,10.4,,Y,,,,,N, ,N, 
14,10451,Kotzebue Electric Assn Inc,Kotzebue Hybrid,AK,Alaska,NORTHWEST ARCTIC,PV1,OP,Solar Photovoltaic,PV,Electric Utility,1,0.1,7,2020,2020-07-01,N/A,N/A,,,,Y,,,,,,,,180.0,45.0,0.2,Y,,,,,,N, ,N, 
15,10451,Kotzebue Electric Assn Inc,Kotzebue Hybrid,AK,Alaska,NORTHWEST ARCTIC,PV10,OP,Solar Photovoltaic,PV,Electric Utility,1,0.1,7,2023,2023-07-01,N/A,N/A,,,,Y,,,,,,,,135.0,35.0,0.2,Y,,,,,,N, ,N, 
16,10451,Kotzebue Electric Assn Inc,Kotzebue Hybrid,AK,Alaska,NORTHWEST ARCTIC,PV11,OP,Solar Photovoltaic,PV,Electric Utility,1,0.1,7,2023,2023-07-01,N/A,N/A,,,,Y,,,,,,,,135.0,35.0,0.2,Y,,,,,,N, ,N, 
