Source,State,County,Type,Name,Setback,moratorium,noise,capacity,height,utility,agricultur,cover,density,continuous operation,ban,visual impact,wind,solar,wind & solar,type,year
Sabin Center,ALABAMA,Cherokee,Local Restrictions,"Act No. 2014-190, S.B. 402 (Ala. Mar. 18, 2014) §§ 6(i)-(j), http",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Wind,2014
Sabin Center,ALABAMA,Etowah,Local Restrictions,"Act No. 2014-191, S.B. 403 (Ala. Mar. 19, 2014) §§ 6(i)-(j), http",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Wind,2014
Sabin Center,ALABAMA,Baldwin,Local Restrictions,"BALDWIN COUNTY, ALA., ZONING ORDINANCE §§ 13.13.4, 13.13.6(j) (as amended Oct. 18, 2022), https",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Wind,2022
Sabin Center,ALABAMA,DeKalb,Local Restrictions,"ALA. CODE § 45-25-260.05 (2019), https",1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,Wind,2019
Sabin Center,ALABAMA,DeKalb,Local Restrictions,"ALA. CODE § 45-25-260.06 (2019), https",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Wind & Solar,2019
NREL,Arizona,Cochise,Local Restrictions,Cochise County Ord. § 1824.02,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Arizona,La Paz,Local Restrictions,La Paz County Ord. § 619.06,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Arizona,Maricopa,Local Restrictions,Maricopa Cnty. Ord. § 1206.2.3;,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
Sabin Center,ARIZONA,Mohave,Local Restrictions,NA,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,Wind & Solar,2023
NREL,Arizona,Pinal,Local Restrictions,Pinal Cnty. Ord. § 2.210.030(A),0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Solar,2021
Sabin Center,ARIZONA,Pinal,Local Restrictions,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Solar,2022
Sabin Center,California, Santa Clara,Local Restrictions,"Santa Clara County, Cal., Code of Ordinances § 4.10.345(A),",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Solar,2010
NREL,California,Butte,Local Restrictions,Butte County Code § 24-157(c),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,California,Butte,Local Restrictions,Butte County Code § 24-157(c),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,California,Contra Costa,Local Restrictions,Contra Costa County Code § 88-30.606,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
Sabin Center,California,Del Norte,Local Restrictions,"CRESCENT CITY, CAL., MUNICIPAL CODE § 17.48.040(D) (current through November 2022),",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Wind,2022
NREL,California,Glenn,Local Restrictions,Glenn County Code § 15.860.030(g)(4)(a),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,California,Los Angeles,Local Restrictions,Los Angeles County Code 22.140.510(E),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,California,Los Angeles,Local Restrictions,Los Angeles County Code 22.140.510(E),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
Sabin Center,California,Los Angeles,Local Restrictions,"LOS ANGELES COUNTY, CAL., CODE § 22.140.510(C)(5),",0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,Wind & Solar,2019
NREL,California,Merced,Local Restrictions,Merced County Code § 18-30-030,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,California,Napa,Local Restrictions,Napa County Code § 18.117.040(c),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
Sabin Center,California,San Bernardino,Local Restrictions,"Christian Roselund, San Bernardino County bans large-scale solar, wind in some areas, PV MAGAZINE, Mar. 1, 2019,",0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,Solar,2019
NREL,California,San Diego,Local Restrictions,San Diego County Code § 6954(b)(3),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,California,San Diego,Local Restrictions,San Diego County Code § 6954(b)(3),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,California,San Luis Obispo,Local Restrictions,San Luis Obispo County Code § 22.32.050,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,California,San Luis Obispo,Local Restrictions,San Luis Obispo County Code § 22.32.050,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,California,Santa Clara,Local Restrictions,Santa Clara County Code § 4.10.345,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,California,Sonoma,Local Restrictions,Sonoma County Code § 26-88-206,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,California,Yolo,Local Restrictions,Yolo County Code § Sec. 8-2.1104(h),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
Sabin Center,Calorado, Delta,Local Restrictions,"Joann K., Commissioners put moratorium on renewable energy projects, DELTA COUNTY CITIZEN REPORT, Sept. 6, 2022, http://citizenreport.info/2022/09/commissioners-put-moratorium-on-renewable-energy-projects/; Renewable Energy Production – Colorado, USA TODAY,",0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,Wind & Solar,2022
Sabin Center,Calorado, Montrose,Local Restrictions,"County of Montrose, State of Colorado, Board of County Commissioners Resolution No. 71-2022 (Oct. 19, 2022),",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Solar,2022
Sabin Center,Calorado, San Miguel,Local Restrictions,"Gavin McGough, Solar development and land use stirs community discussion in Norwood, Colorado, ASPEN PUBLIC RADIO, Oct. 19, 2023,",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Solar,2023
Sabin Center,Calorado, Washington,Local Restrictions,"WASHINGTON COUNTY, COLO., Resolution 64-2020 (Mar. 24, 2020),",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,Wind & Solar,2020
Sabin Center,Calorado,Rio Blanco,Local Restrictions,"Niki Turner, County Beat: Moratorium on new wind/solar projects approved, Herald Times, Aug. 24, 2023,",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,Wind & Solar,2023
NREL,Colorado,Clear Creek,Local Restrictions,Clear Creek Zoning Regulations,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2020
NREL,Colorado,El Paso,Local Restrictions,El Paso County Land Development Code 5.1.49,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Colorado,Jefferson,Local Restrictions,Jefferson County Zoning Resolution § 18 (D),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2022
NREL,Colorado,Lake,Local Restrictions,Lake County Land Development Code Chapt. 5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Colorado,Lincoln,Local Restrictions,Lincoln County Zoning Resolution 11-17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2017
NREL,Colorado,Pueblo,Local Restrictions,Pueblo County Zoning § 17.168.050,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Colorado,Pueblo,Local Restrictions,Pueblo County Zoning § 17.168.050,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Colorado,San Miguel,Local Restrictions,San Miguel County Land Use Code § III (g),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,NA
NREL,Colorado,San Miguel,Local Restrictions,San Miguel County Land Use Code § III (g),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,NA
NREL,Colorado,Washington,Local Restrictions,Washington County Resolution 64-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2020
Sabin Center,Connecticut,n/a,State Restrictions,"CT Gen Stat § 16-50k (rev. Jan. 1, 2021),",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Solar,2017
Sabin Center,Delaware,Kent,Local Restrictions,"Paul Kiefer, Kent County Levy Court Places Moratorium on Utilites-Scale Wind Farms, DELAWARE PUBLIC MEDIA, Dec. 21, 2022,",0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,Wind & Solar,2022
NREL,Delaware,New Castle,Local Restrictions,New Castle County § 40.03.312,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2018
Sabin Center,Delaware,Sussex,Local Restrictions,"Town of Bethany Beach, Del, Code, § 484-3(H),",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Solar,2010
NREL,Florida,Clay,Local Restrictions,Clay County Land Development Code § 3-2(bo),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Columbia,Local Restrictions,Columbia County Land Development Regs. § 4.2.41,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Gadsen,Local Restrictions,Gadsen County Land Development Code § 5204(D),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Gadsen,Local Restrictions,Gadsen County Land Development Code § 5204(D),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Gilchrist,Local Restrictions,Gilchrist County Land Dev. Code § 7.26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Gilchrist,Local Restrictions,Gilchrist County Land Dev. Code § 7.26,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Hillsborough,Local Restrictions,Hillsborough Land Development Code § 6.11.125,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Hillsborough,Local Restrictions,Hillsborough Land Development Code § 6.11.125,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Jefferson,Local Restrictions,Jefferson County Land Development Code § 2.11.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Leon,Local Restrictions,Leon County Land Development Code § 10-6.820,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Manatee,Local Restrictions,Manatee County Land Dev. Code § 531.54,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Martin,Local Restrictions,Martin County Land Dev. Regs. § 3.100.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Martin,Local Restrictions,Martin County Land Dev. Regs. § 3.100.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Orange,Local Restrictions,Orange County Code § 38-79(50),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Palm Beach,Local Restrictions,Palm Beach Unified Development Land Code § 7(C)(8),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
NREL,Florida,Polk,Local Restrictions,Polk County Ord. 11-033,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solar,2021
